Articolo;Descrizione;Anno;Numero;Cliente;Destino;Località;Ord.Cli.;Data;Pezzi;
;;2023;00017767;AZ SPA                                  ;AZ SPA - 1330                                                                                       ;ZUMPANO                            ;                                                  ;01/10/2023;      20;
;;2023;00017769;AZ SPA                                  ;AZ SPA - 1325                                                                                       ;REGGIO CALABRIA                    ;                                                  ;01/10/2023;       5;
;;2023;00017770;AZ SPA                                  ;AZ SPA - 1210                                                                                       ;CATANZARO LIDO                     ;                                                  ;01/10/2023;      25;
;;2023;00017771;AZ SPA                                  ;AZ SPA - 1130                                                                                       ;MONTEPAONE LIDO                    ;                                                  ;01/10/2023;      10;
;;2023;00017772;AZ SPA                                  ;AZ SPA - 1150                                                                                       ;CROTONE                            ;                                                  ;01/10/2023;      10;
;;2023;00020368;LUCAUTO DI LUCA STEFANINI               ;LUCAUTO DI LUCA STEFANINI                                                                           ;LIVORNO                            ;-107286                                           ;09/06/2023;       5;
;;2023;00020797;ANTARES SRL                             ;ANTARES SRL                                                                                         ;NAPOLI                             ;-107443                                           ;13/06/2023;      30;
;;2023;00021263;DUE RUOTE E NON SOLO DI LIBIANI S. & C. ;DUE RUOTE E NON SOLO DI LIBIANI S. & C.                                                             ;ROMA                               ;-107620                                           ;16/06/2023;      10;
;;2023;00021977;CAMPO ALESSANDRO                        ;CAMPO ALESSANDRO                                                                                    ;ROMA                               ;-107891                                           ;21/06/2023;      15;
;;2023;00022534;PM MECCANICA SNC                        ;PM MECCANICA SNC                                                                                    ;VINCI - SOVIGLIANA                 ;-108159                                           ;26/06/2023;      10;
;;2023;00022537;PM MECCANICA SNC                        ;PM MECCANICA SNC                                                                                    ;VINCI - SOVIGLIANA                 ;-108140                                           ;26/06/2023;      20;
;;2023;00022538;PM MECCANICA SNC                        ;PM MECCANICA SNC                                                                                    ;VINCI - SOVIGLIANA                 ;-108143                                           ;26/06/2023;      20;
;;2023;00022539;PM MECCANICA SNC                        ;PM MECCANICA SNC                                                                                    ;VINCI - SOVIGLIANA                 ;-108145                                           ;26/06/2023;      10;
;;2023;00022542;PM MECCANICA SNC                        ;PM MECCANICA SNC                                                                                    ;VINCI - SOVIGLIANA                 ;-108158                                           ;26/06/2023;      10;
;;2023;00023159;A.M. RICAMBI S.R.L.                     ;A.M. RICAMBI S.R.L.                                                                                 ;ROMA                               ;-108383                                           ;30/06/2023;      10;
;;2023;00025803;STILAUTO SRL                            ;STILAUTO SRL                                                                                        ;CARRARA                            ;-107429                                           ;13/06/2023;      10;
;;2023;00025942;FRASCHETTI SPA                          ;FRASCHETTI SPA                                                                                      ;POFI                               ;242070                                            ;01/12/2023;      35;
;;2023;00025943;FRASCHETTI SPA                          ;FRASCHETTI SPA                                                                                      ;POFI                               ;242069                                            ;01/11/2023;      50;
;;2023;00027042;ELETTRIC CAR DI GABRIELE ANTONIO        ;ELETTRIC CAR DI GABRIELE ANTONIO                                                                    ;NOCI                               ;-109884                                           ;27/07/2023;       5;
;;2023;00029903;AUTORICAMBI MCR SRL                     ;AUTORICAMBI MCR SRL                                                                                 ;NAPOLI                             ;-111064                                           ;31/08/2023;       5;
;;2023;00030972;DIMAR SPA                               ;20 - MERCATO' BIG - BRA                                                                             ;BRA                                ;380909-111507                                     ;07/09/2023;      10;
;;2023;00030973;DIMAR SPA                               ;19 - MERCATO' BIG - ALBA                                                                            ;ALBA                               ;380909-111510                                     ;07/09/2023;      10;
008689;LUBEX CATENE N 9MM OMOL GR  7                     ;;;;;;;;     390
;;2023;00017757;AZ SPA                                  ;AZ SPA - 1305                                                                                       ;REGGIO CALABRIA                    ;                                                  ;01/10/2023;       5;
;;2023;00017760;AZ SPA                                  ;AZ SPA - 1205                                                                                       ;CORIGLIANO CALABRO                 ;                                                  ;01/10/2023;       5;
;;2023;00017762;AZ SPA                                  ;AZ SPA - 1300                                                                                       ;REGGIO CALABRIA                    ;                                                  ;01/10/2023;       5;
;;2023;00017763;AZ SPA                                  ;AZ SPA - 1195                                                                                       ;CASTROVILLARI                      ;                                                  ;01/10/2023;      15;
;;2023;00017764;AZ SPA                                  ;AZ SPA - 1200                                                                                       ;RIZZICONI                          ;                                                  ;01/10/2023;      10;
;;2023;00017765;AZ SPA                                  ;AZ SPA - 1225                                                                                       ;RENDE                              ;                                                  ;01/10/2023;      15;
;;2023;00017767;AZ SPA                                  ;AZ SPA - 1330                                                                                       ;ZUMPANO                            ;                                                  ;01/10/2023;      30;
;;2023;00017769;AZ SPA                                  ;AZ SPA - 1325                                                                                       ;REGGIO CALABRIA                    ;                                                  ;01/10/2023;       5;
;;2023;00017770;AZ SPA                                  ;AZ SPA - 1210                                                                                       ;CATANZARO LIDO                     ;                                                  ;01/10/2023;      15;
;;2023;00017771;AZ SPA                                  ;AZ SPA - 1130                                                                                       ;MONTEPAONE LIDO                    ;                                                  ;01/10/2023;       5;
;;2023;00017772;AZ SPA                                  ;AZ SPA - 1150                                                                                       ;CROTONE                            ;                                                  ;01/10/2023;      15;
;;2023;00020797;ANTARES SRL                             ;ANTARES SRL                                                                                         ;NAPOLI                             ;-107443                                           ;13/06/2023;      40;
;;2023;00021263;DUE RUOTE E NON SOLO DI LIBIANI S. & C. ;DUE RUOTE E NON SOLO DI LIBIANI S. & C.                                                             ;ROMA                               ;-107620                                           ;16/06/2023;      10;
;;2023;00021977;CAMPO ALESSANDRO                        ;CAMPO ALESSANDRO                                                                                    ;ROMA                               ;-107891                                           ;21/06/2023;       5;
;;2023;00022534;PM MECCANICA SNC                        ;PM MECCANICA SNC                                                                                    ;VINCI - SOVIGLIANA                 ;-108159                                           ;26/06/2023;      10;
;;2023;00022537;PM MECCANICA SNC                        ;PM MECCANICA SNC                                                                                    ;VINCI - SOVIGLIANA                 ;-108140                                           ;26/06/2023;      15;
;;2023;00022538;PM MECCANICA SNC                        ;PM MECCANICA SNC                                                                                    ;VINCI - SOVIGLIANA                 ;-108143                                           ;26/06/2023;      15;
;;2023;00022539;PM MECCANICA SNC                        ;PM MECCANICA SNC                                                                                    ;VINCI - SOVIGLIANA                 ;-108145                                           ;26/06/2023;      10;
;;2023;00022542;PM MECCANICA SNC                        ;PM MECCANICA SNC                                                                                    ;VINCI - SOVIGLIANA                 ;-108158                                           ;26/06/2023;      10;
;;2023;00023042;BRASOLIN SRL                            ;BRASOLIN SRL                                                                                        ;MARENO DI PIAVE                    ;-108341                                           ;29/06/2023;       5;
;;2023;00025803;STILAUTO SRL                            ;STILAUTO SRL                                                                                        ;CARRARA                            ;-107429                                           ;13/06/2023;       5;
;;2023;00025942;FRASCHETTI SPA                          ;FRASCHETTI SPA                                                                                      ;POFI                               ;242070                                            ;01/12/2023;      55;
;;2023;00025943;FRASCHETTI SPA                          ;FRASCHETTI SPA                                                                                      ;POFI                               ;242069                                            ;01/11/2023;      70;
;;2023;00026220;AUTORICAMBI GEMIGNANI                   ;AUTORICAMBI GEMIGNANI                                                                               ;LIVORNO                            ;-109583                                           ;24/07/2023;       5;
;;2023;00027042;ELETTRIC CAR DI GABRIELE ANTONIO        ;ELETTRIC CAR DI GABRIELE ANTONIO                                                                    ;NOCI                               ;-109884                                           ;27/07/2023;       5;
;;2023;00029903;AUTORICAMBI MCR SRL                     ;AUTORICAMBI MCR SRL                                                                                 ;NAPOLI                             ;-111064                                           ;31/08/2023;       5;
;;2023;00030972;DIMAR SPA                               ;20 - MERCATO' BIG - BRA                                                                             ;BRA                                ;380909-111507                                     ;07/09/2023;      10;
008690;LUBEX CATENE N 9MM OMOL GR  8                     ;;;;;;;;     465
;;2023;00009586;SHOPPING & SHOPPING SRL                 ;SHOPPING & SHOPPING SRL                                                                             ;CASTELLANZA                        ;AG-217-2023-78                                    ;25/09/2023;      10;
;;2023;00014566;STARIM SRL - CASALANDIA                 ;STARIM SRL - CASALANDIA                                                                             ;MARINO                             ;                                                  ;01/11/2023;       5;
;;2023;00017757;AZ SPA                                  ;AZ SPA - 1305                                                                                       ;REGGIO CALABRIA                    ;                                                  ;01/10/2023;       5;
;;2023;00017760;AZ SPA                                  ;AZ SPA - 1205                                                                                       ;CORIGLIANO CALABRO                 ;                                                  ;01/10/2023;      20;
;;2023;00017762;AZ SPA                                  ;AZ SPA - 1300                                                                                       ;REGGIO CALABRIA                    ;                                                  ;01/10/2023;      10;
;;2023;00017763;AZ SPA                                  ;AZ SPA - 1195                                                                                       ;CASTROVILLARI                      ;                                                  ;01/10/2023;      15;
;;2023;00017764;AZ SPA                                  ;AZ SPA - 1200                                                                                       ;RIZZICONI                          ;                                                  ;01/10/2023;      10;
;;2023;00017765;AZ SPA                                  ;AZ SPA - 1225                                                                                       ;RENDE                              ;                                                  ;01/10/2023;      10;
;;2023;00017767;AZ SPA                                  ;AZ SPA - 1330                                                                                       ;ZUMPANO                            ;                                                  ;01/10/2023;      40;
;;2023;00017769;AZ SPA                                  ;AZ SPA - 1325                                                                                       ;REGGIO CALABRIA                    ;                                                  ;01/10/2023;       5;
;;2023;00017770;AZ SPA                                  ;AZ SPA - 1210                                                                                       ;CATANZARO LIDO                     ;                                                  ;01/10/2023;      20;
;;2023;00017771;AZ SPA                                  ;AZ SPA - 1130                                                                                       ;MONTEPAONE LIDO                    ;                                                  ;01/10/2023;       5;
;;2023;00017772;AZ SPA                                  ;AZ SPA - 1150                                                                                       ;CROTONE                            ;                                                  ;01/10/2023;       5;
;;2023;00020368;LUCAUTO DI LUCA STEFANINI               ;LUCAUTO DI LUCA STEFANINI                                                                           ;LIVORNO                            ;-107286                                           ;09/06/2023;      10;
;;2023;00020797;ANTARES SRL                             ;ANTARES SRL                                                                                         ;NAPOLI                             ;-107443                                           ;13/06/2023;      50;
;;2023;00021263;DUE RUOTE E NON SOLO DI LIBIANI S. & C. ;DUE RUOTE E NON SOLO DI LIBIANI S. & C.                                                             ;ROMA                               ;-107620                                           ;16/06/2023;      10;
;;2023;00021977;CAMPO ALESSANDRO                        ;CAMPO ALESSANDRO                                                                                    ;ROMA                               ;-107891                                           ;21/06/2023;      15;
;;2023;00022534;PM MECCANICA SNC                        ;PM MECCANICA SNC                                                                                    ;VINCI - SOVIGLIANA                 ;-108159                                           ;26/06/2023;      10;
;;2023;00022537;PM MECCANICA SNC                        ;PM MECCANICA SNC                                                                                    ;VINCI - SOVIGLIANA                 ;-108140                                           ;26/06/2023;      25;
;;2023;00022538;PM MECCANICA SNC                        ;PM MECCANICA SNC                                                                                    ;VINCI - SOVIGLIANA                 ;-108143                                           ;26/06/2023;      25;
;;2023;00022539;PM MECCANICA SNC                        ;PM MECCANICA SNC                                                                                    ;VINCI - SOVIGLIANA                 ;-108145                                           ;26/06/2023;      25;
;;2023;00022542;PM MECCANICA SNC                        ;PM MECCANICA SNC                                                                                    ;VINCI - SOVIGLIANA                 ;-108158                                           ;26/06/2023;      15;
;;2023;00022871;MH SRL                                  ;MH SRL C.C. "RHO CENTER"                                                                            ;RHO                                ;AG-217-2023-240                                   ;01/09/2023;      10;
;;2023;00022885;EMPORIO DELL'AUTO DI CEZZA TIZIANO & C. ;EMPORIO DELL'AUTO DI CEZZA TIZIANO & C.                                                             ;ROVIGO                             ;TIZIANO-108290                                    ;23/06/2028;       5;
;;2023;00023159;A.M. RICAMBI S.R.L.                     ;A.M. RICAMBI S.R.L.                                                                                 ;ROMA                               ;-108383                                           ;30/06/2023;      10;
;;2023;00025942;FRASCHETTI SPA                          ;FRASCHETTI SPA                                                                                      ;POFI                               ;242070                                            ;01/12/2023;      35;
;;2023;00025943;FRASCHETTI SPA                          ;FRASCHETTI SPA                                                                                      ;POFI                               ;242069                                            ;01/11/2023;      50;
;;2023;00026220;AUTORICAMBI GEMIGNANI                   ;AUTORICAMBI GEMIGNANI                                                                               ;LIVORNO                            ;-109583                                           ;24/07/2023;       5;
;;2023;00027042;ELETTRIC CAR DI GABRIELE ANTONIO        ;ELETTRIC CAR DI GABRIELE ANTONIO                                                                    ;NOCI                               ;-109884                                           ;27/07/2023;       5;
;;2023;00029903;AUTORICAMBI MCR SRL                     ;AUTORICAMBI MCR SRL                                                                                 ;NAPOLI                             ;-111064                                           ;31/08/2023;       5;
;;2023;00030972;DIMAR SPA                               ;20 - MERCATO' BIG - BRA                                                                             ;BRA                                ;380909-111507                                     ;07/09/2023;       5;
;;2023;00030973;DIMAR SPA                               ;19 - MERCATO' BIG - ALBA                                                                            ;ALBA                               ;380909-111510                                     ;07/09/2023;       5;
008691;LUBEX CATENE N 9MM OMOL GR  9                     ;;;;;;;;     505
;;2023;00014566;STARIM SRL - CASALANDIA                 ;STARIM SRL - CASALANDIA                                                                             ;MARINO                             ;                                                  ;01/11/2023;       5;
;;2023;00017757;AZ SPA                                  ;AZ SPA - 1305                                                                                       ;REGGIO CALABRIA                    ;                                                  ;01/10/2023;      10;
;;2023;00017760;AZ SPA                                  ;AZ SPA - 1205                                                                                       ;CORIGLIANO CALABRO                 ;                                                  ;01/10/2023;      25;
;;2023;00017762;AZ SPA                                  ;AZ SPA - 1300                                                                                       ;REGGIO CALABRIA                    ;                                                  ;01/10/2023;       5;
;;2023;00017763;AZ SPA                                  ;AZ SPA - 1195                                                                                       ;CASTROVILLARI                      ;                                                  ;01/10/2023;      15;
;;2023;00017764;AZ SPA                                  ;AZ SPA - 1200                                                                                       ;RIZZICONI                          ;                                                  ;01/10/2023;      15;
;;2023;00017765;AZ SPA                                  ;AZ SPA - 1225                                                                                       ;RENDE                              ;                                                  ;01/10/2023;       5;
;;2023;00017767;AZ SPA                                  ;AZ SPA - 1330                                                                                       ;ZUMPANO                            ;                                                  ;01/10/2023;      30;
;;2023;00017769;AZ SPA                                  ;AZ SPA - 1325                                                                                       ;REGGIO CALABRIA                    ;                                                  ;01/10/2023;       5;
;;2023;00017770;AZ SPA                                  ;AZ SPA - 1210                                                                                       ;CATANZARO LIDO                     ;                                                  ;01/10/2023;      20;
;;2023;00017771;AZ SPA                                  ;AZ SPA - 1130                                                                                       ;MONTEPAONE LIDO                    ;                                                  ;01/10/2023;      15;
;;2023;00017772;AZ SPA                                  ;AZ SPA - 1150                                                                                       ;CROTONE                            ;                                                  ;01/10/2023;      30;
;;2023;00020797;ANTARES SRL                             ;ANTARES SRL                                                                                         ;NAPOLI                             ;-107443                                           ;13/06/2023;      20;
;;2023;00021263;DUE RUOTE E NON SOLO DI LIBIANI S. & C. ;DUE RUOTE E NON SOLO DI LIBIANI S. & C.                                                             ;ROMA                               ;-107620                                           ;16/06/2023;      10;
;;2023;00021977;CAMPO ALESSANDRO                        ;CAMPO ALESSANDRO                                                                                    ;ROMA                               ;-107891                                           ;21/06/2023;      15;
;;2023;00022534;PM MECCANICA SNC                        ;PM MECCANICA SNC                                                                                    ;VINCI - SOVIGLIANA                 ;-108159                                           ;26/06/2023;      10;
;;2023;00022537;PM MECCANICA SNC                        ;PM MECCANICA SNC                                                                                    ;VINCI - SOVIGLIANA                 ;-108140                                           ;26/06/2023;      10;
;;2023;00022538;PM MECCANICA SNC                        ;PM MECCANICA SNC                                                                                    ;VINCI - SOVIGLIANA                 ;-108143                                           ;26/06/2023;      10;
;;2023;00022539;PM MECCANICA SNC                        ;PM MECCANICA SNC                                                                                    ;VINCI - SOVIGLIANA                 ;-108145                                           ;26/06/2023;      10;
;;2023;00022542;PM MECCANICA SNC                        ;PM MECCANICA SNC                                                                                    ;VINCI - SOVIGLIANA                 ;-108158                                           ;26/06/2023;      10;
;;2023;00022871;MH SRL                                  ;MH SRL C.C. "RHO CENTER"                                                                            ;RHO                                ;AG-217-2023-240                                   ;01/09/2023;      10;
;;2023;00022885;EMPORIO DELL'AUTO DI CEZZA TIZIANO & C. ;EMPORIO DELL'AUTO DI CEZZA TIZIANO & C.                                                             ;ROVIGO                             ;TIZIANO-108290                                    ;23/06/2028;       5;
;;2023;00023042;BRASOLIN SRL                            ;BRASOLIN SRL                                                                                        ;MARENO DI PIAVE                    ;-108341                                           ;29/06/2023;      10;
;;2023;00025803;STILAUTO SRL                            ;STILAUTO SRL                                                                                        ;CARRARA                            ;-107429                                           ;13/06/2023;      10;
;;2023;00025942;FRASCHETTI SPA                          ;FRASCHETTI SPA                                                                                      ;POFI                               ;242070                                            ;01/12/2023;      65;
;;2023;00025943;FRASCHETTI SPA                          ;FRASCHETTI SPA                                                                                      ;POFI                               ;242069                                            ;01/11/2023;      90;
;;2023;00027042;ELETTRIC CAR DI GABRIELE ANTONIO        ;ELETTRIC CAR DI GABRIELE ANTONIO                                                                    ;NOCI                               ;-109884                                           ;27/07/2023;       5;
;;2023;00029903;AUTORICAMBI MCR SRL                     ;AUTORICAMBI MCR SRL                                                                                 ;NAPOLI                             ;-111064                                           ;31/08/2023;      15;
;;2023;00030972;DIMAR SPA                               ;20 - MERCATO' BIG - BRA                                                                             ;BRA                                ;380909-111507                                     ;07/09/2023;      15;
;;2023;00030973;DIMAR SPA                               ;19 - MERCATO' BIG - ALBA                                                                            ;ALBA                               ;380909-111510                                     ;07/09/2023;       5;
008692;LUBEX CATENE N 9MM OMOL GR 10                     ;;;;;;;;     345
;;2023;00014566;STARIM SRL - CASALANDIA                 ;STARIM SRL - CASALANDIA                                                                             ;MARINO                             ;                                                  ;01/11/2023;       5;
;;2023;00017757;AZ SPA                                  ;AZ SPA - 1305                                                                                       ;REGGIO CALABRIA                    ;                                                  ;01/10/2023;      15;
;;2023;00017760;AZ SPA                                  ;AZ SPA - 1205                                                                                       ;CORIGLIANO CALABRO                 ;                                                  ;01/10/2023;      20;
;;2023;00017762;AZ SPA                                  ;AZ SPA - 1300                                                                                       ;REGGIO CALABRIA                    ;                                                  ;01/10/2023;      10;
;;2023;00017763;AZ SPA                                  ;AZ SPA - 1195                                                                                       ;CASTROVILLARI                      ;                                                  ;01/10/2023;      15;
;;2023;00017764;AZ SPA                                  ;AZ SPA - 1200                                                                                       ;RIZZICONI                          ;                                                  ;01/10/2023;      10;
;;2023;00017765;AZ SPA                                  ;AZ SPA - 1225                                                                                       ;RENDE                              ;                                                  ;01/10/2023;      10;
;;2023;00017767;AZ SPA                                  ;AZ SPA - 1330                                                                                       ;ZUMPANO                            ;                                                  ;01/10/2023;      15;
;;2023;00017769;AZ SPA                                  ;AZ SPA - 1325                                                                                       ;REGGIO CALABRIA                    ;                                                  ;01/10/2023;       5;
;;2023;00017770;AZ SPA                                  ;AZ SPA - 1210                                                                                       ;CATANZARO LIDO                     ;                                                  ;01/10/2023;      10;
;;2023;00017771;AZ SPA                                  ;AZ SPA - 1130                                                                                       ;MONTEPAONE LIDO                    ;                                                  ;01/10/2023;       5;
;;2023;00017772;AZ SPA                                  ;AZ SPA - 1150                                                                                       ;CROTONE                            ;                                                  ;01/10/2023;      20;
;;2023;00020797;ANTARES SRL                             ;ANTARES SRL                                                                                         ;NAPOLI                             ;-107443                                           ;13/06/2023;      20;
;;2023;00021977;CAMPO ALESSANDRO                        ;CAMPO ALESSANDRO                                                                                    ;ROMA                               ;-107891                                           ;21/06/2023;       5;
;;2023;00022013;AUTOFORNITURE GUASTINI DI G. GUASTINI   ;AUTOFORNITURE GUASTINI DI G. GUASTINI                                                               ;MASSA E COZZILE                    ;-107935                                           ;22/06/2023;       5;
;;2023;00022534;PM MECCANICA SNC                        ;PM MECCANICA SNC                                                                                    ;VINCI - SOVIGLIANA                 ;-108159                                           ;26/06/2023;       5;
;;2023;00022537;PM MECCANICA SNC                        ;PM MECCANICA SNC                                                                                    ;VINCI - SOVIGLIANA                 ;-108140                                           ;26/06/2023;       5;
;;2023;00022538;PM MECCANICA SNC                        ;PM MECCANICA SNC                                                                                    ;VINCI - SOVIGLIANA                 ;-108143                                           ;26/06/2023;       5;
;;2023;00022659;F.LLI SANTONICOLA SAS DI CARMINE SANTONI;F.LLI SANTONICOLA SAS DI CARMINE SANTONI                                                            ;NOCERA INFERIORE                   ;-108168                                           ;27/06/2023;      40;
;;2023;00022871;MH SRL                                  ;MH SRL C.C. "RHO CENTER"                                                                            ;RHO                                ;AG-217-2023-240                                   ;01/09/2023;       5;
;;2023;00022885;EMPORIO DELL'AUTO DI CEZZA TIZIANO & C. ;EMPORIO DELL'AUTO DI CEZZA TIZIANO & C.                                                             ;ROVIGO                             ;TIZIANO-108290                                    ;23/06/2028;       5;
;;2023;00023042;BRASOLIN SRL                            ;BRASOLIN SRL                                                                                        ;MARENO DI PIAVE                    ;-108341                                           ;29/06/2023;       5;
;;2023;00025942;FRASCHETTI SPA                          ;FRASCHETTI SPA                                                                                      ;POFI                               ;242070                                            ;01/12/2023;      30;
;;2023;00025943;FRASCHETTI SPA                          ;FRASCHETTI SPA                                                                                      ;POFI                               ;242069                                            ;01/11/2023;      50;
;;2023;00026220;AUTORICAMBI GEMIGNANI                   ;AUTORICAMBI GEMIGNANI                                                                               ;LIVORNO                            ;-109583                                           ;24/07/2023;       5;
;;2023;00027042;ELETTRIC CAR DI GABRIELE ANTONIO        ;ELETTRIC CAR DI GABRIELE ANTONIO                                                                    ;NOCI                               ;-109884                                           ;27/07/2023;       5;
